                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9841,                 1.8444,                 1.7029,                0.61301,                0.51293,                0.56993,                0.28144,                 1.8862,                  1.858,                 1.8533,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.9687,                 1.8285,                 1.7004,                0.66763,                0.52155,                0.60111,                0.28638,                 1.8258,                 1.7364,                 1.8251,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.9733,                 1.7886,                 1.6916,                 0.7964,                0.46983,                0.58971,                  0.283,                 1.8573,                 1.7783,                  1.816,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.9766,                 1.8417,                 1.7159,                0.77829,                0.48421,                0.61328,                0.30033,                 1.8318,                 1.7323,                 1.8226,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.9676,                 1.7976,                 1.7026,                0.81649,                0.47414,                0.61213,                 0.3178,                 1.8664,                 1.7245,                 1.8344,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.9786,                 1.8251,                 1.6923,                0.69871,                0.50431,                0.61448,                0.30464,                 1.8333,                 1.7728,                 1.7879,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.9479,                 1.7557,                  1.691,                0.76205,                0.52458,                0.63381,                0.30979,                 1.8004,                 1.6658,                 1.7804,               0.009604,               0.009604,               0.009604
                     42,                 1.9216,                 1.7127,                 1.6621,                0.64996,                0.49138,                0.60302,                0.31019,                 1.8048,                 1.6149,                 1.7991,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.9345,                 1.7196,                 1.6701,                0.77532,                0.47598,                0.61647,                 0.3025,                 1.8151,                 1.6003,                 1.7928,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.9263,                 1.7202,                 1.6749,                0.73704,                0.53157,                0.63062,                0.30028,                 1.8352,                 1.6045,                 1.8164,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.914,                 1.7371,                 1.6736,                0.71681,                0.50431,                0.60261,                 0.2999,                 1.8108,                 1.6491,                 1.7901,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.9005,                 1.6833,                 1.6655,                0.60898,                0.52155,                0.59965,                0.29267,                 1.8032,                 1.6624,                 1.7919,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.8983,                 1.6481,                 1.6605,                0.67459,                0.56897,                0.62863,                0.31009,                 1.7946,                 1.6141,                 1.7599,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.8924,                 1.6949,                 1.6645,                0.79138,                0.53879,                0.66206,                 0.3236,                 1.7584,                 1.5816,                 1.7592,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.8819,                 1.6468,                 1.6635,                0.68044,                0.56466,                0.65013,                0.32241,                 1.7873,                 1.5967,                 1.7831,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.8749,                 1.6176,                 1.6365,                0.75607,                0.57449,                0.67281,                0.32955,                 1.8011,                 1.5816,                 1.7798,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.8625,                 1.6209,                 1.6327,                0.73607,                0.55172,                0.64647,                0.32388,                 1.7462,                 1.6252,                 1.7506,               0.009505,               0.009505,               0.009505
                     52,                 1.8633,                 1.5881,                 1.6368,                0.70819,                0.59628,                0.70009,                0.32774,                 1.7467,                 1.6064,                 1.7523,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.8857,                 1.6357,                 1.6581,                0.75657,                0.50862,                0.63662,                0.31285,                 1.7489,                 1.6259,                 1.7504,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.8465,                 1.5683,                 1.6247,                0.68817,                0.58976,                0.65114,                0.31408,                 1.7941,                 1.6424,                 1.7853,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.8672,                 1.5641,                 1.6249,                0.76165,                0.53717,                0.69648,                0.33915,                 1.7861,                 1.5182,                 1.7919,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.8451,                 1.5641,                 1.6094,                0.68302,                0.59052,                0.66272,                0.32054,                 1.7616,                 1.5977,                 1.7639,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.8539,                 1.5693,                 1.6132,                0.64235,                0.64255,                  0.673,                0.34751,                 1.7442,                 1.5566,                 1.7522,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.8323,                 1.5712,                 1.5963,                 0.7842,                0.59522,                0.70557,                0.34832,                 1.7077,                 1.5315,                 1.7257,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.8228,                 1.5125,                 1.5881,                0.73285,                 0.5431,                 0.6638,                 0.3325,                 1.8089,                 1.6031,                 1.7678,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.8359,                 1.5563,                 1.5974,                0.73448,                0.58424,                0.69317,                0.32972,                 1.7542,                 1.5848,                  1.753,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.8266,                 1.5016,                 1.5964,                0.75664,                0.57627,                0.68466,                0.34681,                 1.7959,                 1.5305,                 1.7638,               0.009406,               0.009406,               0.009406
                     62,                 1.8448,                 1.5579,                 1.6183,                0.73282,                0.63362,                0.72003,                0.35906,                 1.7189,                 1.4833,                 1.7253,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.8259,                  1.511,                 1.6032,                 0.7375,                0.61638,                0.70877,                0.34354,                 1.7745,                 1.5341,                 1.7324,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.8161,                 1.5355,                 1.6123,                0.76444,                0.55172,                0.67945,                0.33834,                 1.7651,                 1.5893,                 1.7501,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.8209,                  1.533,                 1.6059,                0.73479,                0.63793,                0.71069,                0.35596,                 1.7087,                 1.4874,                 1.7061,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.8001,                 1.4845,                 1.5797,                0.72226,                0.59914,                0.70614,                0.35785,                 1.7459,                 1.5421,                 1.7423,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.8033,                 1.4876,                 1.5779,                0.72295,                0.64655,                0.68872,                0.31721,                 1.7137,                 1.5381,                 1.7412,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.7906,                 1.4608,                  1.582,                0.79067,                0.66379,                0.74271,                0.36144,                 1.7491,                 1.4946,                 1.7396,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.7882,                 1.4509,                 1.5692,                0.75996,                0.62069,                0.70538,                0.35456,                  1.703,                 1.4333,                 1.7361,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.7853,                 1.4342,                 1.5797,                 0.6851,                0.65517,                0.68461,                0.32701,                 1.7819,                 1.5535,                   1.75,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.7728,                 1.4346,                 1.5763,                0.82381,                0.64224,                0.75698,                0.36657,                 1.7412,                 1.5005,                 1.7289,               0.009307,               0.009307,               0.009307
                     72,                 1.7824,                 1.4518,                 1.5999,                0.75975,                0.64655,                0.73937,                0.37453,                 1.6837,                 1.4207,                 1.6984,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.7598,                 1.4353,                 1.5722,                0.80098,                0.59483,                0.71786,                0.34769,                 1.6936,                 1.5085,                  1.705,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.7522,                   1.42,                 1.5468,                0.76953,                0.60447,                0.70757,                0.35013,                 1.7089,                 1.5145,                 1.7232,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.7583,                 1.4125,                 1.5694,                0.76406,                0.65517,                0.74534,                0.37315,                 1.7006,                 1.4635,                  1.703,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.7767,                 1.4389,                 1.5728,                0.77379,                0.66351,                0.75402,                 0.3793,                  1.706,                 1.4121,                 1.7323,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.7685,                 1.4191,                 1.5693,                0.78495,                0.61638,                0.71701,                0.37038,                 1.6778,                 1.3961,                 1.7072,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.7502,                 1.3941,                 1.5483,                0.76924,                0.65948,                0.74939,                0.37365,                 1.6451,                 1.4112,                  1.666,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.7525,                 1.3892,                 1.5648,                0.72364,                0.64333,                0.74256,                0.35206,                 1.7102,                 1.4262,                 1.7085,              0.0092278,              0.0092278,              0.0092278
