                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8782,                 1.8192,                 1.6829,                0.72819,                0.57328,                 0.6415,                0.32376,                 1.6943,                 1.6712,                 1.7674,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.8608,                 1.7648,                 1.6451,                0.73372,                0.48707,                0.62033,                0.32261,                 1.6554,                 1.6139,                 1.7506,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.8361,                 1.7652,                 1.6551,                0.77177,                0.52586,                0.64861,                0.33689,                 1.6651,                 1.6054,                 1.7677,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.8618,                 1.7617,                 1.6564,                0.65979,                0.64655,                0.68709,                0.35076,                 1.6695,                 1.5174,                 1.7449,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.8822,                 1.7686,                 1.6699,                0.74699,                0.61207,                 0.7071,                0.36793,                 1.6642,                 1.5632,                 1.7621,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.8302,                 1.7077,                 1.6491,                0.77745,                0.59052,                0.68991,                0.36491,                 1.6594,                 1.5813,                 1.7774,              0.0096238,              0.0096238,              0.0096238
                     40,                  1.833,                 1.7594,                 1.6505,                 0.6986,                0.57759,                0.68414,                0.36267,                 1.6097,                  1.505,                 1.7214,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.8329,                 1.7127,                 1.6589,                0.76238,                0.60345,                0.68005,                0.35074,                 1.6766,                 1.5278,                 1.7566,               0.009604,               0.009604,               0.009604
                     42,                 1.8314,                 1.6711,                  1.642,                0.66267,                0.59914,                 0.6591,                0.35709,                 1.6673,                 1.5374,                 1.7595,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.8102,                  1.648,                 1.6338,                0.68329,                0.61638,                0.67382,                 0.3287,                 1.6322,                 1.5887,                 1.7154,              0.0095842,              0.0095842,              0.0095842
                     44,                  1.833,                 1.6498,                 1.6267,                0.77991,                0.56897,                  0.721,                0.36035,                 1.6772,                  1.439,                 1.7671,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.7915,                 1.6317,                  1.621,                0.74391,                0.60776,                0.70463,                0.35317,                 1.6613,                 1.4444,                 1.7314,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.7963,                 1.6086,                 1.6203,                0.74066,                0.66379,                0.71508,                0.36907,                 1.6699,                 1.4725,                 1.7402,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.8093,                 1.6642,                 1.6437,                0.70385,                0.57759,                0.68273,                0.33867,                 1.6763,                  1.483,                 1.7505,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.7917,                 1.6185,                 1.6175,                 0.6821,                0.64655,                0.71987,                 0.3405,                 1.6688,                 1.4707,                 1.7452,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.7588,                 1.5809,                 1.5903,                0.70554,                0.65086,                0.72257,                0.35678,                 1.6596,                 1.4675,                 1.7452,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.7722,                  1.548,                 1.6103,                0.73494,                0.67672,                0.74211,                  0.381,                 1.6262,                 1.3697,                 1.7339,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.7632,                 1.5975,                 1.6072,                0.72816,                0.58885,                0.68341,                0.35024,                 1.6278,                 1.4437,                 1.7129,               0.009505,               0.009505,               0.009505
                     52,                 1.7385,                 1.5451,                 1.5721,                0.78938,                0.67241,                0.76191,                0.38715,                 1.6262,                 1.4509,                 1.7245,              0.0094951,              0.0094951,              0.0094951
                     53,                  1.719,                 1.4849,                   1.57,                0.71571,                0.64655,                0.73441,                0.37949,                 1.6347,                  1.365,                 1.7205,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.7588,                 1.5217,                 1.6091,                0.73681,                0.64224,                0.73914,                0.39769,                 1.5905,                   1.41,                 1.7143,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.7273,                 1.5351,                 1.5783,                0.81153,                0.68103,                0.77233,                 0.4044,                 1.6194,                 1.3419,                 1.7099,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.7307,                 1.5212,                 1.5676,                0.79238,                0.67241,                0.76289,                0.40477,                 1.6159,                 1.3869,                 1.7172,              0.0094555,              0.0094555,              0.0094555
