                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9381,                 8.3549,                 1.4041,                0.00048,                0.00431,                0.00024,                0.00012,                 3.7029,                 3.5925,                 1.6338,             0.00066533,             0.00066533,             0.00066533
                      2,                 3.5399,                 6.1122,                 1.5924,                0.00178,                0.06897,                0.00119,                0.00055,                 4.2169,                  3.779,                 1.6702,              0.0012001,              0.0012001,              0.0012001
                      3,                 3.7897,                 5.0898,                 1.5935,                0.46442,                0.00862,                0.00612,                0.00172,                 4.0867,                 4.1442,                  1.613,              0.0016029,              0.0016029,              0.0016029
                      4,                 3.8777,                 4.6615,                 1.5845,                0.50159,                0.01724,                 0.0334,                0.00942,                 3.9287,                 3.6894,                 1.5337,               0.001406,               0.001406,               0.001406
                      5,                 3.8459,                 4.3169,                 1.5725,                0.14136,                0.06897,                0.03849,                0.00942,                 3.8896,                 3.3798,                 1.5183,               0.001208,               0.001208,               0.001208
                      6,                 3.7563,                 4.1449,                 1.5392,                0.17489,                 0.0431,                0.04173,                0.01342,                 3.8266,                 3.5582,                 1.5028,                0.00101,                0.00101,                0.00101
                      7,                 3.7029,                 3.9512,                 1.5237,                0.29652,                0.12931,                0.09237,                0.02178,                 3.7186,                 3.1961,                 1.4391,               0.000812,               0.000812,               0.000812
